policy_id,policy_name,category,subcategory,department,description,version,effective_date,review_cycle,approval_authority,is_mandatory,last_updated_year,details
1001,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,Operations,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v1.1,22/12/2021,Bi-Annual,Department Head,Yes,2021,"{""days_per_year"": 15, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 0}"
1002,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Engineering,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v2.1,15/10/2022,As Needed,Department Head,No,2022,"{""days_per_year"": 10, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1003,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Sales,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v2.0,20/05/2023,Quarterly,HR Manager,Yes,2023,"{""days_per_year"": 21, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 3}"
1004,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Customer Support,"Specifies conditions under which leave can be availed, including advance notice requirements.",v1.1,25/05/2022,Annual,HR Manager,No,2022,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1005,Compensatory Off — Leave Policy,Leave Policy,Compensatory Off,Marketing,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.2,20/11/2021,Quarterly,Department Head,No,2021,"{""days_per_year"": 8, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 3}"
1006,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,Marketing,"Outlines the leave entitlement, carry-forward rules, and encashment policies.",v1.0,13/05/2023,Annual,Department Head,No,2023,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 3}"
1007,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,HR,"Specifies conditions under which leave can be availed, including advance notice requirements.",v1.1,19/07/2024,Quarterly,Line Manager,Yes,2024,"{""days_per_year"": 10, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 0}"
1008,Casual Leave — Leave Policy,Leave Policy,Casual Leave,Customer Support,Details the approval workflow and documentation required for availing this leave type.,v1.0,17/05/2024,As Needed,HR Executive,Yes,2024,"{""days_per_year"": 15, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 0, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
1009,Maternity Leave — Leave Policy,Leave Policy,Maternity Leave,Engineering,Details the approval workflow and documentation required for availing this leave type.,v3.0,28/11/2021,Bi-Annual,CHRO,Yes,2021,"{""days_per_year"": 10, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 5, ""encashment_allowed"": ""No"", ""advance_notice_days"": 1}"
1010,Earned Leave — Leave Policy,Leave Policy,Earned Leave,Sales,"Defines the number of leaves granted, eligibility criteria, and application process for employees.",v1.2,08/10/2021,Bi-Annual,CHRO,Yes,2021,"{""days_per_year"": 6, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 15, ""encashment_allowed"": ""Yes"", ""advance_notice_days"": 7}"
1011,Bereavement Leave — Leave Policy,Leave Policy,Bereavement Leave,HR,"Covers restrictions, blackout periods, and maximum consecutive days allowed.",v1.2,18/12/2022,As Needed,Line Manager,No,2022,"{""days_per_year"": 18, ""carry_forward_allowed"": ""Yes"", ""max_carry_forward_days"": 10, ""encashment_allowed"": ""No"", ""advance_notice_days"": 2}"
